구 분,용 어,설 명
1,가입기간,"퇴직연금 설정 이후 당해 사업장에서 근로를 제공한 기간, 당해 퇴직연금의 설정 전에 제공한 근로기간에 대해서도 가입기간으로 할 수 있음"
2,가입연령,퇴직연금에 가입 할 수 있는 최소연령
3,가입자,퇴직연금에 가입하여 연금규약에 따라 퇴직급여 수급권을 취득한 근로자 또는 개인퇴직계좌(IRP)를 설정하여 그 계약에 따라 퇴직급여 수급권을 취득한 자
4,가입자 자격상실,"퇴직연금 가입자가 정년, 중도사망, 중도퇴직 등의 사유로 가입자로서의 자격을 상실하는 것을 말함"
5,가입자명부,퇴직연금에 가입한 사업장에 속해있는 근로자의 퇴직금정보 등을 포함한 기본사항을 적은 명부
6,개인퇴직계좌 (IRP),퇴직급여제도의 일시금을 수령한 자 등이 그 수령액을 적립 운용하기 위하여 퇴직연금사업자에게 설정한 계좌
7,거치연금,연금급여지급 요건을 충족하였으나 급여의 일정 부분이 그 이후에 지급되는 연금
8,거치연금이자율,연금자산을 일정기간 동안 거치 후 지급하는 연금제도에서 퇴직 시부터 연금지급 직전까지의 기간 동안 부리해주는 이자율
9,경험승급률(Experienced salary scale),"예정승급률의 종류로서 회사로부터 받은 근로자 데이터의 생년월일, 입사일, 기준급여 등을 활용, 연령별 인원 및 기준급여를 집계하여 연령별 기준급여를 추정한 후, 기준연령의 추정급여로 나누어 산출한 연령별 급여지수. 계산시점 현재의 근로자의 급여를 기초로 통계적방법(최소제곱법) 또는 5점이동 평균법을 사용하여 입사하여 정년까지 근무하면서 진급 또는 근무년수의 증가에 따른 급여의 인상을 감안한 승급률(급여지수)을 산출하여 적용"
10,경험퇴직률,예정퇴직률의 종류로서 장래급부 및 부담금을 계산하기 위해 근로자가 매년 어떤 비율로 퇴직할 것인가를 예측하는 기초 비율을 의미. 기업의 과거경험치를 가지고 계산하는 방식으로 퇴직연금의 제도가입자가 퇴직하는 정도를 나타내는 율로 백분율(%)로 표시되며 과거3년간의 퇴직자 실적을 가지고 퇴직연금 계리기법을 적용하여 산출
11,계산기초율,"장래의 퇴직급여 및 부담금을 현가를 활용하여 계산하는 경우, 기초가 되는 비율. 부담금 산출이율, 예정사망률, 예정승급률  및 예정퇴직률 등이 있음"
12,계속근로기간,"휴직, 퇴직 등을 하지 않고 기업에 계속적으로 근무하여 퇴직금 증감이 발생하는 기간"
13,계속기준부채,계산기초율을 기초로 연금계리방식에 의해 산출한 퇴직급여부채(책임준비금)
14,계약 응당일,"2차년도 이후 매년의 계약일과 동일한 월, 일을 말하지만 경우에 따라서는 매월의 계약일과 동일한 날을 말하는 경우도 있음"
15,계약이전,"기업이 근로자대표의 동의를 얻어 현재 계약(운용관리, 자산관리)을 해지하고 다른 계약(다른 사업자로 이전 포함)으로 이전함"
16,근로자대표,근로자 과반수로 조직된 노동조합이 있는 경우에는 그 노동조합을 말하고 그러한 노동조합이 없는 경우에는 근로자 과반수를 말함
17,근로제공기간,근로기간 중 급여수급권 획득에 기여하는 기간
18,근속년수,수급자격이 되는 근속년수
19,급여,퇴직후 연금가입자에게 주어지는 지급금
20,급여수급권자,급여를 수령할 자격이 있는 사람
21,기록관리,"퇴직연금 거래와 관련된 제반사항을 기록ㆍ보관ㆍ통지하는 것. 다수의 연금 가입자에 대한 기본 정보에서 이력관리, 퇴직급여, 적립금 운용현황 등 연금제도를 운영하기 위해 필요한 관리 시스템"
22,기산일,"퇴직금 지급에 있어서 퇴직한 날, 사고가 발생한 날 등 금액 산출을 위한 시작일 혹은 기초일"
23,납입주기(연납/3월납/6월납/월납),퇴직연금 부담금(적립금)의 납입주기
24,단기금융시장 ,"단기자금의 수요자와 공급자간의 자금 수급불균형을 조절하기 위하여 통상 1년 미만의 단기 금융자산이 거래되는 시장을 말함. 이 시장은 기업의 시설 자금이나 장기운전자금 조달을 목적으로 발행 되는 주식, 채권 등을 거래하는 본시장에 대응하여 화폐시장이라고도 불림. 현재 우리나라에는 콜시장, 기업어음(CP)시장, 양도성예금증서(CD)시장, 환매조건부채권매매(RP)시장, 통화안정증권시장, 무역어음시장 등이 있음. "
25,단위적립방식(UC),현재급여를 기준으로 개인별 장래 퇴직급여 예상액의 현재가치를 UNIT(근속년수/지급률)로 나누어 산출하는 방식.(ABO 산출 시 적용)
26,당기기여금,당기에 실제 납입한 부담금 납입금액
27,대기기간 [Waiting Period],사용자가 제공하는 연금기구에 가입하기 위해 유지되어야 하는 최소 고용기간 
28,대체율,일정기간의 개인(평균)소득과 (평균)연금급여 간의 비율
29,도달연령방식,확정급여형퇴직연금의 재정방식 중 하나로 평가시점부터 근로자 각각의 실제연령(도달연령)을 기준으로 잔여근무기간에 걸쳐 평준화된 부담금을 산정하는 방식
30,듀레이션 [Duration],"채권의 현가로 환산된 가중평균만기, 수익률 변동에 대한 채권가격의 변동성을 나타내는 척도로 사용"
31,뮤추얼펀드 (mutual fund),"유가증권 투자를 목적으로 한 회사의 주식을 투자가가 갖는 형태, 즉 회사형(會社型)을 택하여, 투자가는 수익자인 동시에 주주가 됨"
32,민감도분석,부담금산출이율을 기준으로 ±하여 이율에 얼마나 민감하게 부담금율이 변하는지 확인 하는 분석처리 
33,발생급여,근로제공기간에 근거하여 가입자가 받게 되는 누적연금급여액
34,발생급여부채,현재의 급여수준을 기준으로 연금산식에 따라 산출한 연금급여액의 현재가치로서 기준일 현재의 기발생 연금급여액만을 반영
35,밸런스펀드 (balance fund),주식과 공사채의 보유비율을 일정 범위로 유지하면서 투자하는 증권투자신탁
36,법정관리,부도를 내고 파산 위기에 처한 기업이 회생 가능성이 보이는 경우에 법원의 결정에 따라 법원에서 지정한 제3자가 자금을 비롯한 기업활동 전반을 대신 관리하는 제도.
37,법정제(단일률),지급률에서 법정제는 1년에 1개월(30일)분의 평균급여를 지급하는 법정퇴직금을 지급하는 규정
38,보장연금제도,일정 수익률의 보장 등 특정 보호장치가 마련되어 있는 연금제도
39,보장이율,"최저보장형, 승진보상형, CBP에서 사용되는 율로 단일률, 매년변동률, 일정상품에 연동한 율 등이 있어 납입한 금액을 가지고 정한 율로 보장하여 퇴직금을 정하기 위한 이율"
40,보증부연금,"연금수령자의 사망 시까지 연금을 지급하되, 연금수령자가 일정시점 이전에 사망할 경우 당해 연금급여를 사망자의 부양가족에게 지급하는 연금"
41,보충부담금,과거 근무기간 분(과거 근무 채무)에 해당하는 급여 지급을 위하여 일정 기간 나누어 내도록 계산되는 부담금
