question,answer_B,source_pdf
CD수익률의 정의와 그 용도는 무엇인가요?,"CD수익률이란 신용평가회사로부터 AAA이상의 신용등급을 받은 시중은행이 발행한 만기가 91일인 CD의 발행수익률로서, 기초자료제출기관이 금융투자협회에 제출한 기초수익률을 기반으로 협회가 산출한 수익률을 말합니다. CD수익률은 금융계약·거래에서 해당 계약·거래의 상대방에게 지급·교환하고자 하는 금액 또는 금융상품의 가치를 결정할 때 기준으로 사용됩니다.",pdf_0_label_5.pdf
"CD수익률 산출 과정에서 오류가 발생했을 경우, 협회는 어떤 절차를 따르나요?","협회는 오류가 발견된 경우, 오류의 발생 원인에 따라 다음과 같은 절차를 따릅니다. 1) 오류가 협회 직원의 산출업무 수행과정에서 발생한 경우, 해당 직원의 산출업무 수행을 중지하고 오류를 정정한 후 수정된 CD수익률을 산출하여 공시합니다. 2) 오류가 제출기관의 제출업무 수행과정에서 발생한 경우, 해당 제출기관에 신속한 정정을 요구하고 기초수익률을 재제출하게 하며, 정정을 반영한 CD수익률을 산출하여 공시합니다. 모든 경우에 관리위원회 및 필요 시 금융위원회에 보고합니다.",pdf_0_label_5.pdf
비상사태 발생 시 CD수익률 산출업무 중단에 따른 금융계약의 대체금리는 어떻게 결정되나요?,"비상사태 발생으로 CD수익률 산출업무가 중단되는 경우, 해당 중단기간 동안 사용기관과 고객 간 협의된 대체금리로 CD수익률을 대체하여 해당 금융계약에 적용할 수 있습니다. 대체금리는 3개월물 CD시가평가 기준수익률(AAA등급)의 채권평가 5사 평균금리를 기준으로 하며, 사용기관과 채무자 간 개별 약정이 있을 경우 별도의 대체금리를 적용할 수 있습니다.",pdf_0_label_5.pdf
"KB금융그룹의 개인정보보호 정책에서 관리적, 기술적, 물리적 조치에 대해 구체적으로 설명해 주실 수 있나요?","KB금융그룹은 개인정보보호를 위해 관리적 조치로 내부관리규정 수립·시행, 정기적 직원 교육, 보안점검 등을 수행하고 있으며, 기술적 조치로는 네트워크 접근통제, 계정 권한 관리, 보안프로그램 설치 등의 보호 대책을 적용하고 있습니다. 물리적 조치로는 전산실, 자료보관실 등의 접근 통제를 적용하고 있습니다.",pdf_1_label_5.pdf
KB국민은행의 채권회수 정책에서 채무자의 인간다운 삶을 보호하기 위해 어떤 원칙을 따르고 있나요?,"KB국민은행은 채권회수를 위해 권리를 남용하거나 불법적인 방법으로 채권을 회수하지 않으며, 공정한 채권회수 활동을 통해 당행의 정당한 채권 회수 권리를 보장하고 채무자의 인간다운 삶과 평온한 생활을 보호합니다.",pdf_2_label_5.pdf
금리인하 요구권을 신청하기 위해 필요한 서류는 무엇인가요?,"신용등급평가가 필요하지 않은 경우에는 기업여신 금리인하요구 신청서, 개인(신용)정보조회·수집·이용·제공 동의서, 금리인하 요구 관련 확인서류가 필요합니다. 신용등급평가가 필요한 경우에는 기업여신 금리인하요구 신청서, 업체현황표 또는 업체현황 및 사업계획서, 기타 신용평가 관련 서류 일체, 그리고 금리인하 요구 관련 확인서류가 필요합니다.",pdf_3_label_5.pdf
금융상품 개발 초기 단계에서 금융소비자의 의견을 반영하기 위해 어떤 절차를 거쳐야 하나요?,"금융상품 개발 초기 단계에서 금융소비자의 의견을 반영하기 위해 금융소비자의 니즈 및 시장 트렌드를 분석하고, 금융소비자보호 총괄기관의 제도 개선 요청사항, 민원 결과, 금융소비자 만족도, 금융소비자 참여 제도 결과 등을 활용하여 금융소비자의 의견을 적극 반영해야 합니다.",pdf_4_label_5.pdf
금융소비자가 금융상품 계약을 체결한 후 위법계약 해지를 요구할 수 있는 경우는 어떤 경우인가요?,"금융소비자는 적합성원칙, 적정성원칙, 설명의무, 불공정영업행위의 금지, 부당권유행위의 금지를 위반하여 금융상품에 관한 계약을 체결한 경우 해당 계약의 해지를 요구할 수 있습니다.",pdf_5_label_5.pdf
KB금융의 내부신고자 보호 정책에서 제보대상 행위는 어떤 것들이 포함되나요?,"제보대상 행위는 다음과 같습니다: 각 그룹사의 내부통제기준에 중대하게 위배되는 사항, 내부회계관리 제도에 위배되는 회계처리 행위, 금융실명거래 및 비밀보장에 관한 법률 위반 혐의, 범죄혐의가 있는 행위, 상사의 위법 부당한 지시 행위, 성희롱 행위, 사회적 물의를 야기할 우려가 있는 행위, 불법∙부당한 감사행위, 부정청탁 또는 금품제공 혐의, 부정한 채용청탁 사실 인지, 기타 위법 또는 부당한 업무처리 및 사고 징후로 판단되는 일체의 행위.",pdf_6_label_5.pdf
"제보자가 요청할 경우, 제보에 따른 처리결과는 어떻게 통보되나요?","소관부서장은 제보자의 요청이 있는 경우 제보에 따른 처리결과를 제보자에게 통보하여야 합니다. 다만, 익명의 제보인 경우에는 그러하지 않습니다.",pdf_6_label_5.pdf
소관부서장은 내부자를 대상으로 어떤 교육을 실시해야 합니까?,소관부서장은 내부자를 대상으로 정기적으로 그룹 올바른 제보제도에 관한 교육을 실시하여야 합니다.,pdf_6_label_5.pdf
내부통제규정의 목적은 무엇인가요?,"이 규정은 「금융지주회사법」 제15조와 같은 법 시행령 제11조, 「금융회사의 지배구조에 관한 법률」 제24조 및 「내부통제정책」에 따라 KB금융지주와 자회사등의 내부통제 관련 기본적인 방침과 기준 및 절차를 정하는데 그 목적이 있습니다.",pdf_7_label_5.pdf
"지주회사가 계열사의 업무분장과 조직구조의 적정성을 점검할 때, 어떤 권한을 가지고 있으며 그 결과에 따라 어떤 조치를 취할 수 있나요?","지주회사는 계열사 업무분장과 조직구조의 적정성을 점검할 수 있는 권한을 보유하며, 점검 결과가 제1항에 부합되지 않는다고 판단하는 경우에는 계열사에게 개선을 권고할 수 있습니다.",pdf_7_label_5.pdf
지주회사 및 계열사는 내부통제기준 준수 점검을 어떻게 수행해야 하나요?,지주회사 및 계열사는 업무의 중요도 및 위험도를 고려하여 점검 범위와 주기 등을 설정하고 금융관계법령 등 관련법령과 내부통제기준 준수여부 등을 주기적으로 점검하여 법령 위반을 방지하고 내부통제제도 운영에 따른 취약점을 조기에 식별해야 합니다.,pdf_7_label_5.pdf
지주회사 및 계열사가 내부통제기준 위반 사항을 처리하는 절차는 어떻게 되나요?,지주회사 및 계열사는 임직원의 내부통제기준 위반에 대하여 각 회사 인사 관련 내규 등에 따라 처리해야 합니다.,pdf_7_label_5.pdf
